org_uuid,org_name,domain,status,founded_on,category_list,category_groups_list,country_code,city,short_description
86bd89a7-fe3f-12d4-817c-8157c8592194,i.Sec,isec.ng,operating,1/1/13,"Finance,FinTech",Financial Services,NGA,Lagos,i.Sec is a financial security service that allows its users to approve and decline unwanted and malicious transactions.
58fd74f2-9ebb-4a41-cd75-05f9214a9a11,Kukua,kukua.me,operating,1/1/15,"Content,EdTech,Franchise,Media and Entertainment","Education,Media and Entertainment,Other,Software",KEN,Nairobi,The edutainment company for children of the 21st century
e8772824-d8d5-7636-0bd5-40b76511213b,Airdog,airdog.com,operating,1/1/14,"Artificial Intelligence,Drones,Robotics","Artificial Intelligence,Consumer Electronics,Consumer Goods,Data and Analytics,Hardware,Science and Engineering,Software",LVA,Riga,We build smart robots that bring unprecedented value to its owners.
be72d0fa-b5b0-eb2d-f8aa-3cb290f97b33,Ubiq.ai,ubiq.ai,operating,1/1/15,"Autonomous Vehicles,Car Sharing,Internet,Last Mile Transportation,Smart Cities,Software,Transportation","Internet Services,Real Estate,Software,Transportation",AUT,Vienna,Ubiq is shaping the future of urban mobility by enabling mobility services to become profitable and sustainable.
7c9e6d25-8cf0-80a5-dfd6-d1a21337534d,ANKA,anka.africa,operating,1/1/16,"Art,E-Commerce,Fashion,Handmade","Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design,Media and Entertainment",CIV,Abidjan,"ANKA is a platform to discover, buy, and sell African fashion, arts, and crafts."
91b7747c-1345-6dd1-0013-14f16733d5dc,Restaumatic,restaumatic.com,operating,1/1/13,"Delivery,E-Commerce,Food Processing","Administrative Services,Commerce and Shopping,Food and Beverage",POL,Zabrze,Restaumatic provides its customers comprehensive and professional online food ordering system for existing websites.
1ba1ca0f-7254-4a7f-950e-7ef4a2eceaa3,Cura,cura.healthcare,operating,1/1/16,"Employee Benefits,Health Care,Health Diagnostics,Home Health Care,Medical,mHealth,Outpatient Care,Personal Health,Wellness","Administrative Services,Health Care,Mobile",SAU,Riyadh,"Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls"
a5c5742b-b12f-44d0-a549-e774bbc68618,Flowingly,flowingly.io,operating,1/1/16,"Information Technology,Software","Information Technology,Software",NZL,Auckland,Flowingly is a ''no code''​ application development platform.
305e3ca7-9819-4e17-afa6-f186a0da05d9,Inland Properties Group,ipgegypt.com,operating,1/1/15,"Property Management,Real Estate",Real Estate,EGY,Cairo,Inland Properties is a leading real estate company that was established in 2015.
3cb5fa01-fb88-4667-b83c-e617105b82b2,RISE,riseaccel.com,operating,1/1/16,"Education,Management Consulting","Education,Professional Services",THA,Bangkok,Corporate Innovation Powerhouse of Asia - We help corporates and governments innovate faster through our corporate innovation platform
5a000ccc-e679-4074-bfa0-5401b24116b8,Konvy.com,konvy.com,operating,1/1/11,"Cosmetics,E-Commerce,Retail","Commerce and Shopping,Consumer Goods",THA,Watthana,Konvy.com is an online platform that provides cosmetics and skincare products.
80fa545f-f661-05e9-2ed4-ad863b096c7c,Wirewatt,wirewatt.com,operating,1/1/15,"Clean Energy,CleanTech,Financial Services,FinTech,Solar","Energy,Financial Services,Natural Resources,Sustainability",MEX,Monterrey,Wirewatt is a clean energy financing platform providing loans to homeowners to finance solar and other energy-efficiency projects.
a9401809-76f1-41ca-a681-efc235f45fd3,Schrott24,schrott24.de,operating,1/1/16,"Apps,Internet,Marketplace,Mobile Apps,Web Apps","Apps,Commerce and Shopping,Internet Services,Mobile,Software",AUT,Graz,Schrott24 is a managed marketplace for scrap metal.
