org_uuid,org_name,domain,status,founded_on,category_list,category_groups_list,country_code,city,short_description
a2323b6c-29b9-4750-905c-cdcbd9ce92b8,10X Banking,10xbanking.com,operating,1/1/16,"Banking,Financial Services,FinTech,Software","Financial Services,Lending and Investments,Software",GBR,London,10X Banking is a financial service technology company.
cf3b00cf-ffbf-0e4f-6427-a60e5060de39,10X Genomics,10xgenomics.com,ipo,1/1/12,"Biotechnology,Genetics,Health Care,Medical","Biotechnology,Health Care,Science and Engineering",USA,Pleasanton,10X Genomics ELV solutions and security systems company that provides an innovative genomics platform.
0680987f-23cd-4fa5-850c-38326fffaa36,"111, Inc.",corporate.111.com.cn,ipo,1/1/10,"Health Care,Medical",Health Care,CHN,Shanghai,"111, Inc. operates as a digital and mobile healthcare platform."
a79a6ae8-3c74-0db7-7e6b-b4f7662d37e8,17zuoye,ucenter.17zuoye.com,ipo,1/1/11,"E-Learning,EdTech,Education,Internet,Language Learning","Education,Internet Services,Software",CHN,Shanghai,17zuoye is an online learning platform for K-12 students as well as teachers and parents.
8e5b2628-6d2b-4f0a-9808-07c935156515,1inch,1inch.io,operating,7/9/20,"Blockchain,Cryptocurrency,Information Services,Information Technology,Open Source,Software","Financial Services,Information Technology,Other,Payments,Software",KNA,Old Road Town,1inch Limited builds decentralized protocols and contributes to the development of the 1inch Network.
1ca6a7b3-465b-443d-9028-388cfd1ad060,1Komma5°,1komma5grad.com,operating,1/1/21,,,DEU,Hamburg,"KOMMA5 ° offers all owners of electric vehicles free electricity, which refinance through trading with so-called GHG quotas"
0995a94f-0661-0db6-fcae-cbb89937c945,360Learning,360learning.com,operating,1/1/13,"B2B,Corporate Training,E-Learning,EdTech,Human Resources,Productivity Tools,SaaS","Administrative Services,Education,Other,Software",USA,New York,360Learning develops a collaborative learning solution to help companies unlock learning based on collective expertise.
73588380-c823-48db-9139-31c17b38862b,3D Medicines,3dmedcare.com,operating,1/1/10,"Biopharma,Biotechnology,Health Care,Pharmaceutical","Biotechnology,Health Care,Science and Engineering",CHN,Minhang,3D Medicines mission is to improve people’s health through cancer personalized diagnostics and treatment.
310235fd-88ee-87dd-d394-b71762ba2431,4D Molecular Therapeutics,4dmoleculartherapeutics.com,ipo,1/1/13,"Biotechnology,Genetics","Biotechnology,Health Care,Science and Engineering",USA,Emeryville,"4D Molecular Therapeutics designs, develops, and commercializes transformative gene therapeutic products for unmet medical conditions."
e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,4G Clinical,4gclinical.com,operating,1/1/15,"Health Care,Management Information Systems,Pharmaceutical,Software","Health Care,Information Technology,Software",USA,Wellesley,4G Clinical provides software and services for clinical drug trials specifically in randomization and trial supply management (RTSM).
7ec603f5-8f92-49ba-90da-cafee6bf1d4e,4Paradigm,4paradigm.com,operating,1/1/14,"Artificial Intelligence,Information Services,Machine Learning,Software","Artificial Intelligence,Data and Analytics,Information Technology,Science and Engineering,Software",CHN,Beijing,4Paradigm is an AI tech firm that helps enterprises improve work efficiency while reducing risk and achieving greater commercial value.
06abbfcf-2fc8-9cb1-c363-451a598e401e,55tuan.com,55tuan.com,operating,3/15/10,"Business Intelligence,E-Commerce,Web Development","Commerce and Shopping,Data and Analytics,Software",CHN,Beijing,55tuan is a Chinese web developer offering the largest e-commerce website and community platform in China.
eefcef54-822a-c8c6-6a6c-482543cb7098,6sense,6sense.com,operating,1/1/13,"Artificial Intelligence,B2B,Big Data,Business Information Systems,Machine Learning,Marketing,Sales","Artificial Intelligence,Data and Analytics,Information Technology,Other,Sales and Marketing,Science and Engineering,Software",USA,San Francisco,6sense Revenue AI transforms how B2B organizations achieve predictable revenue growth.
9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,908 Devices,908devices.com,ipo,1/1/12,"Battery,Chemical,Hardware,Manufacturing","Energy,Hardware,Manufacturing,Science and Engineering",USA,Boston,"908devices manufactures battery-operated, hand-held chemical detection tools used in mass spectrometry."
6219bd58-fae6-6c7f-726c-1b19876fa06a,91APP,91app.com,ipo,9/1/13,"Apps,Brand Marketing,E-Commerce,PaaS,Retail,SaaS,Software","Apps,Commerce and Shopping,Sales and Marketing,Software",TWN,Taipei,"91APP is a leading omnichannel commerce solution provider in Taiwan, providing brand-own shopping app and websites for retailers."
1459907b-005b-4070-a9d3-36a94d751a26,A24,a24films.com,operating,1/1/12,"Media and Entertainment,TV Production","Media and Entertainment,Video",USA,New York,"A24 is an American independent entertainment company that specializes in film distribution, and film and television production."
c168dcc8-f2c3-4677-93b9-30a85cdac221,AbCellera Biologics,abcellera.com,ipo,1/1/12,"Biotechnology,Medical,Therapeutics","Biotechnology,Health Care,Science and Engineering",CAN,Vancouver,AbCellera Biologics is a biotechnology company that develops antibody therapeutics to improve patient outcomes.
60285140-66f8-4539-b42f-2ed4a502beeb,Ablative Solutions,ablativesolutions.com,operating,1/1/11,"Biotechnology,Health Care,Medical Device","Biotechnology,Health Care,Science and Engineering",USA,Wakefield,Ablative Solutions is a medical device firm that offers an alternative to surgical renal denervation for treating hypertension.
ea5170c0-5c33-40cb-8a18-7dd42d8efcd6,Abnormal Security,abnormalsecurity.com,operating,4/1/18,"Cyber Security,Email,Information Technology,Network Security,Security","Information Technology,Internet Services,Messaging and Telecommunications,Privacy and Security",USA,San Francisco,Abnormal Security is an email security company that protects enterprises and organizations from targeted email attacks.
c45c5d39-9cf2-4063-ac9f-a679a9f3a7e8,ABOUT YOU,corporate.aboutyou.de,operating,1/1/14,"E-Commerce,Fashion,Marketing,Personalization,Retail,Shopping","Clothing and Apparel,Commerce and Shopping,Design,Sales and Marketing",DEU,Hamburg,"ABOUT YOU is an eCommerce platform for clothing, shoes and accessories."
c94583cc-c687-f207-3a7f-c0ee9b035f68,Absci,absci.com,ipo,1/1/11,"Artificial Intelligence,Biopharma,Biotechnology,Life Science","Artificial Intelligence,Biotechnology,Data and Analytics,Health Care,Science and Engineering,Software",USA,Vancouver,Absci is the drug & target discovery company harnessing deep learning AI & synthetic biology to expand the therapeutic potential of proteins
5034db7f-b2f0-470a-81c3-8698ff6e5dd4,Accel Club,accel.club,operating,2/1/21,"E-Commerce,E-Commerce Platforms","Commerce and Shopping,Internet Services",NLD,Amsterdam,"Accel Club is a platform that is buying, operating and launching ecommerce businesses."
1bbea06c-169d-4e0b-9871-4e13f917490b,ACELYRIN,acelyrin.com,operating,1/1/20,"Biopharma,Biotechnology,Health Care","Biotechnology,Health Care,Science and Engineering",USA,Los Angeles,"ACELYRIN is a biopharma company that identifies, acquires, and accelerates the development and commercialization of life-changing therapies."
ec6935fd-2a3e-6e6c-8dcc-612ec8b1bb49,AcertaPharma,acerta-pharma.com,acquired,1/1/13,"Biotechnology,Pharmaceutical,Therapeutics","Biotechnology,Health Care,Science and Engineering",USA,San Francisco,Acerta Pharma provides drug discovery and development services for oncology and autoimmune diseases.
07bc8083-1155-c363-4bb8-c63215f5f26c,Achilles Therapeutics,achillestx.com,ipo,5/1/16,"Biotechnology,Health Care,Therapeutics,Wellness","Biotechnology,Health Care,Science and Engineering",GBR,London,"Achilles Therapeutics is a developer of immunotherapies intended to offer next-generation, patient-specific therapies to treat cancer."
d7a3a423-f6e5-f0b1-96fa-6e5f35e47765,Acko,acko.com,operating,1/1/16,"Auto Insurance,Health Insurance,Insurance,InsurTech",Financial Services,IND,Mumbai,Acko is a digital insurance company with a license to underwrite and distribute bite-sized insurance products.
